count,dep1,arr1,dep2,arr2
1,FRA,ZRH
2,FRA,ZRH
3,FRA,ZRH
4,FRA,ZRH
5,FRA,ZRH
6,FRA,HAM,HAM,ZRH
7,FRA,HAM,HAM,ZRH
8,FRA,HAM,HAM,ZRH
9,FRA,MUC,MUC,ZRH
10,FRA,MUC,MUC,ZRH
11,FRA,ZRH
12,FRA,ZRH
13,FRA,ZRH
14,FRA,ZRH
15,FRA,HAM,HAM,ZRH
16,FRA,HAM,HAM,ZRH
17,FRA,HAM,HAM,ZRH
18,FRA,STR,STR,ZRH
19,FRA,STR,STR,ZRH
20,FRA,ZRH
21,FRA,ZRH
22,FRA,ZRH
23,FRA,ZRH
24,FRA,ZRH
25,FRA,ZRH
26,FRA,ZRH
27,FRA,ZRH
28,FRA,ZRH
29,FRA,HAM,HAM,ZRH
30,FRA,ZRH
31,FRA,ZRH
32,FRA,ZRH
33,FRA,ZRH
34,FRA,ZRH
35,FRA,ZRH
36,FRA,ZRH
37,FRA,ZRH
38,FRA,DRS,DRS,ZRH
39,FRA,DRS,DRS,ZRH
40,FRA,ZRH
41,FRA,ZRH
42,FRA,ZRH
43,FRA,ZRH
44,FRA,ZRH
45,FRA,ZRH
46,FRA,ZRH
47,FRA,DRS,DRS,ZRH
48,FRA,DRS,DRS,ZRH
49,FRA,HAM,HAM,ZRH
50,FRA,ZRH
51,FRA,ZRH
52,FRA,ZRH
53,FRA,ZRH
54,FRA,ZRH
55,FRA,ZRH
56,FRA,ZRH
57,FRA,ZRH
58,FRA,HAM,HAM,ZRH
59,FRA,HAM,HAM,ZRH
60,FRA,ZRH
61,FRA,ZRH
62,FRA,ZRH
63,FRA,ZRH
64,FRA,ZRH
65,FRA,ZRH
66,FRA,ZRH
67,FRA,HAM,HAM,ZRH
68,FRA,HAM,HAM,ZRH
69,FRA,HAM,HAM,ZRH
