name,count,lat,lon
Funchal,1,32.69777778,-16.77444444
Kiruna,1,67.82222222,20.34583333
Lampedusa,1,35.49611111,12.615
Longyearbyen - Svalbard,1,78.24527778,15.46944444
Santiago de Compostela,1,42.895,-8.415
Friedrichshafen,1,47.66722222,9.5125
Knock - Ireland West,1,53.91,-8.817777778
Lulea,1,65.54472222,22.12777778
Newquay,1,50.43944444,-4.994722222
Bari,1,41.14111111,16.78833333
Haugesund,1,59.34666667,5.209166667
Heraklion,1,35.34027778,25.18027778
Kefallinia,1,38.11861111,20.49972222
Kuopio,1,63.00722222,27.79777778
Pisa,1,43.68055556,10.39277778
Umea,1,63.79333333,20.28444444
Aarhus,1,56.30388889,10.62
Alexandroupolis,1,40.85583333,25.95638889
Ancona,1,43.6175,13.36416667
Cluj,1,46.785,23.68611111
Figari,1,41.50055556,9.097777778
Genoa,1,44.41305556,8.837777778
Ioannina,1,39.69638889,20.8225
Jerez De La Frontera - La Parra,1,36.74527778,-6.058888889
Kavala,1,40.97277778,24.34194444
Linkoping,1,58.40611111,15.68055556
Lodz Lublinek Airport,1,51.72194444,19.39805556
Lugano,1,46.00416667,8.910555556
Milan Linate,1,45.44166667,9.277777778
Milano Orio - Bergamo,1,45.66833333,9.700277778
Mykonos,1,37.43611111,25.34444444
Pantelleria,1,36.81361111,11.96611111
Riga,1,56.92361111,23.97111111
Rzeszow,1,50.11,22.01888889
Saarbruecken - Ensheim,1,49.21444444,7.109444444
Skelleftea,1,64.625,21.07833333
Strasbourg,1,48.53694444,7.6275
Strasbourg Bus Station,1,48.54055556,7.632222222
Thira,1,36.40638889,25.47722222
Timisoara – Traian Vuia International Airport,1,45.8275,13.47222222
Triest,1,45.82666667,13.47222222
Helsingborg - Angelholm,0,56.29305556,12.8625
Jersey,0,49.20805556,-2.195555556
Kalmar,0,56.685,16.28722222
Olbia,0,40.89722222,9.522222222
Ronneby,0,56.25833333,15.26111111
Szczecin,0,53.58472222,14.90222222
Zadar,0,44.10833333,15.34666667
Bydgoszcz,0,53.09666667,17.97861111
Cagliari,0,39.24722222,9.061111111
Burgas,0,42.55361111,27.51083333
Kittila,0,67.70111111,24.84694444
Rijeka,0,45.21694444,14.57027778
Skiathos,0,39.18055556,23.50555556
Kalamata,0,37.06944444,22.02777778
Bastia,0,42.54916667,9.486111111
