airportCode
AAL
AAR
ABZ
ACE
AES
AGH
AGP
AHO
AJA
ALF
AMS
AOI
ARN
ATH
AXD
BCN
BDS
BGO
BGY
BHD
BHX
BIA
BIO
BIQ
BLL
BLQ
BOD
BOJ
BOO
BRE
BRI
BRN
BRS
BRU
BSL
BUD
BZG
CAG
CDG
CFU
CGN
CHQ
CLJ
CLY
CND
CPH
CTA
CWL
DBV
DRS
DTM
DUB
DUS
EBJ
EDI
EFL
EMA
EVE
FAO
FCO
FDH
FKB
FLR
FMM
FMO
FNC
FRA
FSC
FUE
GDN
GLA
GOA
GOT
GRZ
GVA
GWT
HAJ
HAM
HAU
HDB
HDF
HEL
HER
HOV
IAS
IBZ
INN
IOA
JER
JKG
JKH
JMK
JSI
JTR
KGS
KKN
KLR
KLU
KLX
KRK
KRN
KRS
KSC
KSD
KSU
KTT
KTW
KUO
KVA
LCA
LCJ
LCY
LDE
LEJ
LGG
LHR
LIN
LIS
LJU
LLA
LMP
LNZ
LPA
LPI
LUG
LUX
LUZ
LYR
LYS
MAD
MAH
MAN
MJT
MLA
MLH
MMX
MOL
MPL
MRS
MUC
MXP
NAP
NCE
NCL
NOC
NQY
NUE
OLB
OPO
OSD
OSL
OTP
OUL
PAD
PEG
PMI
PMO
PNL
POZ
PRG
PSA
PUY
QDU
REG
RHO
RIX
RJK
RLG
RNB
RTM
RZE
SBZ
SCN
SCQ
SDL
SFT
SKG
SMI
SNN
SOF
SPC
SPU
STN
STR
SUF
SVG
SVQ
SXB
SXF
SZG
SZZ
TFS
TKU
TLL
TLS
TMP
TOS
TRD
TRN
TRS
TSR
TXL
UME
VAA
VAR
VCE
VGO
VIE
VLC
VNO
VOL
VRN
WAW
WRO
XER
XRY
ZAD
ZAG
ZRH
ZTH
